attraction_name,Rating,description,Best Time To Visit,country
Singapore Botanic Gardens,4.9,"Singapore Botanic Gardens is the only tropical garden to feature as a UNESCO World Heritage Site. The 82-hectare garden houses more than 10,000 species of flowering plants and trees. The prime attractions are the National Orchid Garden, and Jacob Ballas Children’s Garden.Timings: 5:00 AM - 12:00 AMEntry Fees: Free Nearest MRT:  Botanic Gardens",,singapore
Merlion Park,4.5,"The picturesque Merlion Park is an iconic Singapore sight, housing two Merlion statues. Merlion is a mythical creature with the head of a lion and the body of a fish and is considered an icon of the Lion City.Timings: 24 hoursEntry Fees: Free",,singapore
River Safari Singapore,4.5,"Singapore River Safari is Asia's first river-themed zoo and aquarium. Spread across the ten unique riverine ecosystems, it houses around 6,000 animals of over 300 species. Timings: River Safari: 10:00 AM - 7:00 PM,Last entry 6:30 PMEntry Fees: Adults: SGD 32,Children (3 - 12 years): SGD 21,Seniors (Singaporean): SGD 15",,singapore
Arab Street Singapore,2.5,"Arab Street is a neighbourhood in the Malay-Muslim Quarter of Singapore. It is known for its eclectic mix of exotic stores selling crafts, accessories, textiles, and home furnishing from the Middle East. The famous Sultan Mosque is also located here.",,singapore
Buddha Tooth Relic Temple,4.6,"The Buddha Tooth Relic Temple is a Chinese Buddhist Temple in Chinatown, Singapore. The five-storey temple is famed worldwide for storing the left canine tooth of Lord Buddha, recovered from his funeral pyre in Kushinagar, India.Timings : 7:00 AM - 7:00 PM daily Stupa Chamber and Museum: 9:00 AM - 6:00 PM",,singapore
Haw Par Villa,4.4,"Formerly known as the Tiger Balm Garden, Haw Par Villa is an Asian culture theme park and Singapore's largest outdoor art gallery. Claimed to be the last of its kind in the world, this repository of Asian folklore and myths is famous for depicting the ""Ten Courts of Hell"" from Chinese folklore.Timings: Park: 9:00 AM - 10:00 PM, Last entry at 9:30 PM Ten Courts of Hell: 9:00 AM - 9:30 PM, Last entry at 9:15 PM",,singapore
Orchard Road,4.6,"One of the main shopping street of Singapore, Orchard Road is 2.2 kilometre long upscale shopping destination. Famous for luxury retail shopping experience, it is home to internationally renowned stores, coffeehouses and restaurants.",,singapore
National Orchid Garden,4.7,"The National Orchid Garden of Singapore is home to the largest display of tropical orchids in the world/. It currently houses over 60,000 orchid plants, out of which 1000 are pure species and 2000 are hybrids.Timings: 8:30 AM - 7:00 PM,Last entry: 6:00 PMEntry Fees: Adults: SGD 5,Students: SGD 1,Seniors (60 and above): SGD 1,Children below 12 years: No entry fee",,singapore
Singapore Zoo,4.5,"Regarded as one of the best zoos in the world, the Singapore Zoo is famed for housing the largest captive colony of Orangutans in the world. Another major highlight is the Rainforest Kidzworld, a technicolour play area for the little ones.Timings: 8:30 AM - 6:00 PM,Last Entry: 5:30 PMEntry Fees: Adult: SGD 33,Child (3 - 12 years): SGD 22",,singapore
Little India,2.5,"Little India is an ethnic neighbourhood of Singapore - a major hub of the Singaporean Indian community. Commonly known as ""Tekka"", the historic centre is known for the vibrant culture, buzzing nightlife, binge-worthy street food and world-class shopping.",,singapore
"Chinatown, Singapore",2.6,"One of the most popular neighbourhoods of Singapore, Chinatown is all about hustle bustle and authentic Chinese food and culture.",,singapore
Jurong Bird Park,4.7,"Jurong Bird Park is Asia's largest bird park housing over 5000 birds from around 400 varied species. Spread across 20.2 hectares, the major highlight is the Waterfall Aviary - the world's largest walk-in aviary.Timings: 8:30 AM - 6:00 PMEntry Fees: Adult: SGD 29,Child (3 - 12 years): SGD 19,Senior Citizen: SGD 13",,singapore
Clarke Quay,4.6,"The Clarke Quay is a popular riverside quay in Singapore flanked by stylish restaurants, and high-end boutiques. Also lined up along the river are buzzing nightclubs, river cruise bumboats and floating cafes that make the place Singapore's major wining and dining area.",,singapore
Siloso Beach,4.4,"The Siloso Beach is renowned for being the hippiest of the three beaches of Sentosa Island. Home to some of the best bars and restaurants in the area, it is ideal for people who love the sun and the sand. Siloso Beach is well known for its outdoor activities as well, especially beach volleyball.",,singapore
Waterfront Promenade Singapore,2.5,"The Waterfront Promenade is a long walking stretch of more than 2 miles connecting the Bayfront, Marina Centre and Collyer Quar in Singapore. The well-kept waterfront is lined with boutique shops and fancy restaurants. The main attraction, however, is the Merlion statue (the national icon of Singapore).",,singapore
National Gallery Singapore,4.8,"The National Gallery Singapore is an art museum showcasing the world's largest collection of colonial and post-colonial Asian and Southeast Asian art. Housed in the iconic former Supreme Court Buildings and the City Hall, it is the largest museum and venue for the visual arts in Singapore.Timings: Saturday - Thursday: 10:00 AM - 7:00 PM,Friday: 10:00 AM - 9:00 PM,Last entry 30 minutes before closing",,singapore
East Coast Park,4.7,"East Coast Park is a 15km long stretch of seafront park, nestled along the southeastern coast of Singapore. Spread across 185 hectares of reclaimed land, it is a much-loved spot among the locals who flock here to windsurf, swim, kayak, picnic, swim, barbecue, bicycle, skateboard and eat.",,singapore
Raffles Hotel Singapore,4.4,"One of the most famous and iconic hotels in Singapore, the Raffles Hotel is on the top of almost every visitor’s to-visit list in Singapore. Located in the Colonial District of Singapore, it is claimed to be one of the world's last majestic 19th century hotels.",,singapore
Asian Civilisations Museum,4.7,"Ranked as one of the top museums in Asia, the Asian Civilisations Museum displays artefacts and relics depicting the cultures and civilisations of Asia. There are over 2000 artefacts spread across seven galleries on three levels.Timings: Saturday - Thursday: 10:00 AM - 7:00 PM,Friday: 10:00 AM - 9:00 PM,Last entry 15 minutes before closing",,singapore
Sri Mariamman Temple,4.4,"The oldest temple in Singapore, Sri Mariamman Temple is located in Chinatown. The exquisite temple is dedicated to Goddess Mariamman, a Hindu deity known for curing illness, disease and epidemics. The ornate and elaborate detailing of the gopuram (tower) above the entrance is a sight to behold.Timings: 5:00 AM - 11:30 AM, 5:00 PM - 8:45 PM",,singapore
Chinese Garden,2.6,"The Chinese Garden in Singapore a 13.5 hectare landscaped garden. It houses a seven-storey pagoda, Chinese-style pavilions and stone bridges, a stunning Bonsai garden and a lantern-studded Japanese Garden. The main highlights are the Bonsai Garden and Live Turtle and Tortoise Museum.Timings: 6:00 AM - 11:00 PM",,singapore
Changi Chapel and Museum,3.6,"Narrating the story of Japanese occupation of Singapore, the Changi Chapel and Museum is dedicated to Singapore's history during World War II. It houses the photographs, personal objects, letters of more than 50,000 civilians and soldiers in Changi Prison. Timings: 9:30 AM - 5:00 PMEntry Fees: Adults: SGD 12,Children: SGD 8",,singapore
